State,AverageSunlightHours,RailwayTrackLength
Andhra Pradesh,2025.75,6075
Arunachal Pradesh,1354.15,12
Assam,1733.75,2702
Bihar,1861.5,5418
Chhattisgarh,1930.85,2183
Delhi,1843.25,346
Goa,1978.3,69
Gujarat,2033.05,6357
Haryana,1876.1,2652
Himachal Pradesh,1733.75,317
Jammu and Kashmir,1810.4,366
Jharkhand,1887.05,4383
Karnataka,1963.7,4837
Kerala,1664.4,1745
Madhya Pradesh,1923.55,8216
Maharashtra,2095.1,8712
Manipur,1733.75,13
Meghalaya,1668.05,9
Mizoram,1835.95,2
Nagaland,1686.3,11
Odisha,1810.4,4443
Punjab,1814.05,2768
Rajasthan,2047.65,8174
Tamil Nadu,1887.05,5492
Telangana,1868.8,2596
Tripura,1784.85,265
Uttarakhand,1762.95,451
Uttar Pradesh,1949.1,12957
West Bengal,1868.8,7624
Chandigarh,1817.7,18
Puducherry,2040.35,22
,,
